epoch	categorical crossentropy loss
0	120.521378411
1	39.3382585314
2	12.308339119
3	4.66734422578
4	2.3866666158
5	1.62406125334
6	1.27574188842
7	1.10743813382
8	0.979479836093
9	0.913824319839
10	0.840916468037
11	0.761990295516
12	0.693262080352
13	0.627738806936
14	0.552401804262
15	0.482401072979
16	0.448485536708
17	0.389115264018
18	0.331847409407
19	0.32436150478
20	0.29762013091
21	0.262759660681
22	0.224003303382
23	0.217060390446
24	0.205460722248
25	0.17540572087
26	0.177392234405
27	0.153220314119
28	0.14540148692
29	0.147019442585
30	0.136135589745
31	0.116944019993
32	0.120092869633
33	0.110667374399
34	0.100167507927
35	0.096884061065
36	0.10195105854
37	0.0932015015019
38	0.0916526483165
39	0.0959164284998
40	0.0853203083906
41	0.0852958038449
42	0.0780703127384
43	0.0757974700795
44	0.0675701888071
45	0.0713280493187
46	0.0691376208431
47	0.0614866763353
48	0.0669661325713
49	0.0616917572916
50	0.0603338591754
51	0.0592240314517
52	0.0560980484717
53	0.0542060405844
54	0.0580272649725
55	0.0511337307592
56	0.0524665717449
57	0.0507894750271
58	0.0495436588923
59	0.048199824161
60	0.0506040586366
61	0.0484415599042
62	0.0445543577274
63	0.046802919358
64	0.0464807926781
65	0.0446073503958
66	0.0431436291999
67	0.0447747777734
68	0.0431942645874
69	0.041740042054
70	0.0404276384248
71	0.0409683850076
72	0.0411710534245
73	0.0390704481138
74	0.0356651801202
75	0.0378651836266
76	0.0382933335172
77	0.0353879166974
78	0.0355906763838
79	0.0370805282146
80	0.0367341554827
81	0.0334326241993
82	0.0320515440156
83	0.0356820581688
84	0.0328261063745
85	0.0326796772165
86	0.0331450313744
87	0.033063756302
88	0.0293825690945
89	0.03135234697
90	0.0291376747191
91	0.0292278778636
92	0.0313046723604
93	0.0272557300826
94	0.0277738951974
95	0.0272477937655
96	0.0282958853576
97	0.0312490732306
98	0.0284609709763
99	0.0352093376633
100	0.0292490145399
101	0.0336078239812
102	0.0288627621614
103	0.0309848166588
104	0.028344316822
105	0.0270474824227
106	0.0288458598985
107	0.0276949672649
108	0.0262727304879
109	0.0266978808989
110	0.0233762458795
111	0.0248505241341
112	0.0244792869522
113	0.0232890482164
114	0.0284330021176
115	0.0235424559149
116	0.0218092244532
117	0.0217903817279
118	0.0230567219357
119	0.0216376754559
120	0.0218180399388
121	0.0225909925583
122	0.0209148878025
123	0.0218880139291
124	0.0244829894768
125	0.0221072886553
126	0.0229043933666
127	0.0217024572194
128	0.0195035948935
129	0.0190075849079
130	0.0186782634507
131	0.019164936824
132	0.0207393750962
133	0.0207994861735
134	0.0201512455112
135	0.0182052976969
136	0.0168235735554
137	0.0176583246017
138	0.0188360541231
139	0.01834397287
140	0.0198295120564
141	0.0183432081507
142	0.0199927463093
143	0.0209804810584
144	0.0188765761753
145	0.0170152622999
146	0.0183408607004
147	0.0181550578111
148	0.0167954467858
149	0.017835083728
